First name,Last Name,Title,Source,Rating,Phone,Annual Revenue,No. of Employees
Ann,Rush,VP,Trade Show,Cold,415-555-5500,550000,560
Betty,Keller,VP,Trade Show,Warm,545-555-5555,349000,12000
Joe,Santo,VP,Trade Show,Warm,335-555-0000,1200000,45000
Price,Constabile,Manager,Trade Show,Warm,406-752-4453,124545600,76
Vincent,Under,Manager,Trade Show,Warm,406-752-4453,500000,340
Matt,Sawyer,Manager,Trade Show,Cold,415-555-0055,700000,5000
Tim,Mullen,VP,Trade Show,Cold,415-555-5555,90000000,900
Joe,Buridge,VP,Trade Show,Cold,406-752-4453,5600000,458000
Jon,Trischetta,Manager,Trade Show,Cold,415-555-5555,87000000,45000
Chris,Pitterno,Manager,Trade Show,Cold,415-684-5500,120000,7690
Matt,Winders,Manager,Trade Show,Cold,415-555-5555,4500000,9800
Brian,Millton,VP,Trade Show,Cold,406-752-4453,6570000,670
Nate,Peryy,VP,Trade Show,Cold,415-555-5000,5600000,54400
Greg,Perry,Manager,Trade Show,Cold,406-752-4453,760000,55
Fred,Henderson,Manager,Trade Show,Cold,415-555-5000,6900000,99000
